tabela,campo,grupo,descricao,cuidados
master_orders,order_status,Data e status,"Situacao atual do pedido. Oito valores ja vistos: UNPAID (criado e nunca pago), READY_TO_SHIP (pago, aguardando envio), PROCESSED (em preparacao), SHIPPED (enviado), TO_CONFIRM_RECEIVE (aguardando confirmacao do cliente), TO_RETURN (em devolucao), CANCELLED (cancelado) e COMPLETED (concluido).","Em analise financeira use order_status <> 'CANCELLED': isso devolve os pedidos pagos. UNPAID e transitorio - a Shopee cancela sozinha o pedido nao pago, entao ele termina em CANCELLED e sai da conta. A unica excecao e o pedido criado ha poucos dias que ainda nao foi pago nem cancelado: ele aparece como UNPAID e entra no filtro. Se isso importar no seu recorte, use pay_time is not null. Pedido nao final e mais velho que 30 dias nao muda mais sozinho, porque a releitura da extracao so alcanca 30 dias - isso e sinal de que algo travou."
master_orders,customer_type,Cliente,Indica se foi a primeira compra daquele cliente (Novo) ou se ele ja havia comprado antes (Recorrente).,
master_orders,quantity_purchased,Quantidade e preco,Quantas unidades daquele item o cliente levou.,
master_orders,preco_tabela,Quantidade e preco,"Preco cheio, sem desconto. E o valor de referencia do anuncio.",
master_orders,discounted_price,Quantidade e preco,"Preco de venda por unidade, ja com as promocoes aplicadas.","E unitario. Nao confundir com preco_desconto_linha, que e o total."
master_orders,preco_desconto_linha,Quantidade e preco,"Preco de venda da linha inteira, ou seja preco vezes quantidade. Vem do relatorio financeiro da Shopee.",E o total da linha. Nao somar junto com discounted_price.
master_orders,cmv_unitario,Custo e margem,Quanto custa uma unidade daquele produto para voce. Vem da planilha de custos.,"Fica vazio em pedidos anteriores a junho de 2026, de produtos que sairam de linha. E proposital."
master_orders,cmv_total,Custo e margem,Custo total daquela linha: custo unitario vezes quantidade.,
master_orders,receita_item,Custo e margem,Valor de venda da linha: preco unitario vezes quantidade.,
master_orders,margem_item,Custo e margem,Quanto sobrou naquela linha considerando apenas o custo do produto: receita_item menos cmv_total.,"Nao desconta comissao da Shopee, frete, impostos nem cupons. Responde quanto ganhei acima do custo do produto, nao quanto entrou no bolso."
master_orders,cupom_vendedor,GMV,"Desconto de cupom que saiu do seu bolso, ja dividido por item pela propria Shopee.",
master_orders,cupom_shopee,GMV,Desconto de cupom bancado pela Shopee.,"Nao reduz seu faturamento, por isso nao entra no calculo do GMV."
master_orders,gmv_item,GMV,O faturamento daquela linha: preco de venda menos o seu cupom. Segue a definicao oficial da Shopee de 2026.,"Inclui pedidos cancelados e devolvidos, porque mede volume de vendas geradas e nao dinheiro recebido. Para dinheiro de verdade use receita_bruta. Fica vazio enquanto a Shopee nao libera o escrow do pedido, e vazio nao vira zero: o pedido simplesmente some da soma, sem aviso. Ao comparar com o painel da Shopee, confira antes se ha linha com gmv_item vazio no periodo."
master_orders,receita_bruta,Receita,"Quanto a Shopee efetivamente repassa para voce naquela linha, depois de reter tudo o que ela cobra.","Em pedido cancelado e zero. Use este campo para somar repasse, nunca escrow_amount."
master_orders,receita_liquida,Receita,O faturamento (GMV) menos 6 por cento de imposto.,"A base de calculo do imposto e o faturamento (GMV), conforme regime tributario vigente a partir de 16/08/2026."
master_orders,comissao_shopee,Receita,"A fatia do faturamento que ficou com a Shopee, expressa em decimal. Por exemplo 0.3565 equivale a 35.65 por cento.","Inclui tudo que a Shopee retem: comissao, taxa de servico, taxa de transacao e efeito do frete. Em pedidos cancelados mostra 100 por cento. Para a media de um periodo use 1 menos soma(receita_bruta) dividido por soma(gmv_item), nunca a media da coluna."
master_orders,commission_fee,Detalhe financeiro,"A comissao da Shopee em valor absoluto, isolada das demais taxas.",
master_orders,net_commission_fee,Detalhe financeiro,A comissao apos ajustes e rebates.,
master_orders,frete_pago_comprador,Frete,Quanto o cliente pagou de frete.,
master_orders,frete_custo_real,Frete,Quanto o frete custou de verdade.,"Se for maior que o valor pago pelo cliente, a diferenca saiu de algum lugar: subsidio da Shopee ou do seu bolso."
master_orders,valor_pago_produto,Detalhe financeiro,Valor dos produtos conforme o relatorio financeiro da Shopee.,
master_orders,escrow_amount,Detalhe financeiro,O repasse do pedido inteiro.,Nunca somar. Em pedidos com varios itens este valor se repete em cada linha e a soma fica inflada. Para somar repasse use receita_bruta. Pode ser negativo em devolucoes onde voce pagou o frete de retorno.
despesa_operacional,competencia,Despesa operacional,"Mes a que a despesa se refere, sempre no dia 1o. E competencia e nao pagamento: contrato anual pago de uma vez entra rateado, um doze avos por mes.","Nunca use para saber quando o dinheiro saiu - isso nao esta no warehouse. Mes sem linha significa que ninguem apurou, NAO que a despesa foi zero. Zero explicito so aparece quando alguem conferiu e registrou."
despesa_operacional,canal,Despesa operacional,"A que canal a despesa pertence: shopee, mercado_livre ou comum.","'comum' e despesa do NEGOCIO e nao de um canal - pro labore, assinaturas, consultoria. Ela NAO vem rateada de proposito: quem monta o DRE escolhe o criterio de rateio, e assim o criterio fica visivel e auditavel em vez de escondido na digitacao. Somar despesa de um canal sem decidir o que fazer com a 'comum' subestima o custo daquele canal."
despesa_operacional,categoria,Despesa operacional,"O tipo da despesa: assinaturas, agencia_marketing, consultoria, pro_labore ou midia_manual.","midia_manual e PROVISORIA: existe so enquanto o master_ads nao existe, e cobre mar a ago/2026. Quando o master_ads entrar, estas linhas precisam ser removidas, senao o gasto com anuncio conta duas vezes."
despesa_operacional,descricao,Despesa operacional,O item dentro da categoria. Exemplo: Canva e Avantpro dentro de assinaturas.,"E o que permite saber qual item mudou quando o total da categoria muda. Junto com competencia e categoria, forma o grao da tabela."
despesa_operacional,valor,Despesa operacional,Valor mensal da despesa em reais.,"E sempre a parcela do mes, nunca o desembolso total de um contrato. Nao inclui imposto (ja esta em receita_liquida) nem CMV, embalagem e mao de obra (ja estao no custo do produto)."
despesa_operacional,observacao,Despesa operacional,"Texto livre: rateio aplicado, motivo, ou registro de que o gasto conferido foi zero.",Vazio nao significa nada - e so ausencia de comentario.
master_ads,canal,Identificacao,"Marketplace da campanha. Hoje constante em 'shopee'.","Existe desde ja para o DRE por canal nascer funcionando dos dois lados, igual ao master_orders e a despesa_operacional."
master_ads,campaign_id,Identificacao,"Identificador da campanha na Shopee.","Junte com a configuracao por este campo, nunca por data: o setting nao tem data e e sempre o estado atual."
master_ads,data,Tempo,"Dia da metrica, fuso de Brasilia.","A API entrega em DD-MM-YYYY, diferente do resto do projeto. A conversao para ISO acontece na extracao."
master_ads,nome_anuncio,Identificacao,"Nome da campanha no painel de Ads.","Vem da performance e nao da configuracao, entao reflete o nome vigente no periodo consultado."
master_ads,tipo_anuncio,Identificacao,"manual, auto ou gms.","Auto Product Ads esta sendo depreciado pela Shopee. As 24 campanhas de 02/09/2026 eram todas manual."
master_ads,posicionamento,Identificacao,"Onde o anuncio aparece.","'all' e o padrao das campanhas da loja."
master_ads,item_id,Identificacao,"Produto anunciado. E o caminho entre gasto de midia e SKU.","NULO quando a campanha saiu da listagem da Shopee -- campanha encerrada some e o gasto historico fica sem item. Nulo aqui e esperado, nao defeito."
master_ads,qtd_itens,Qualidade,"Quantos produtos a campanha anuncia.","Em 02/09/2026 todas as 24 campanhas tinham 1. E essa premissa que permite item_id ser coluna. Se passar de 1, o gasto nao e mais atribuivel a um SKU sem rateio arbitrario e o modelo vira tabela ponte."
master_ads,status_campanha,Identificacao,"Estado da campanha: ongoing, closed, paused.","E o estado de AGORA, nao o do dia da linha. A Shopee nao expoe historico de configuracao."
master_ads,orcamento_campanha,Dinheiro,"Orcamento configurado.","Valor atual, nao o vigente na data da linha. Mesmo aviso do status_campanha."
master_ads,meta_roas,Metrica,"Meta de ROAS quando o lance e automatico.","Nulo em campanha de lance manual."
master_ads,impressoes,Volume,"Quantas vezes o anuncio foi exibido.",""
master_ads,cliques,Volume,"Cliques no anuncio.",""
master_ads,ctr,Metrica,"Cliques divididos por impressoes, ja calculado pela Shopee.","Razao pronta: NAO tire media desta coluna para consolidar periodo. Recalcule com sum(cliques)/sum(impressoes)."
master_ads,gasto,Dinheiro,"Quanto a campanha gastou no dia.","Unico campo de dinheiro desta tabela que se soma sem ressalva. Ainda assim, o total do DRE sai de silver.stg_ads_shop_daily: campanha encerrada some da listagem e leva o gasto junto."
master_ads,custo_por_clique,Metrica,"gasto dividido por cliques, ja calculado.","Razao pronta: nao tire media para consolidar, recalcule."
master_ads,custo_por_conversao_direta,Metrica,"Gasto por pedido direto, ja calculado.","Razao pronta: nao tire media para consolidar."
master_ads,pedidos_diretos,Volume,"Pedidos do proprio item anunciado, atribuidos ao clique.","E o numero conservador. Use este quando houver duvida."
master_ads,gmv_direto,Dinheiro,"Faturamento gerado pelo item anunciado.","Atribuicao de 7 dias creditada ao DIA DO CLIQUE: nunca bate com o master_orders do mesmo dia, e isso nao e erro. Sao perguntas diferentes."
master_ads,roi_direto,Metrica,"Retorno sobre investimento direto, ja calculado.","No endpoint de loja a mesma ideia se chama direct_roas. Provavelmente a mesma metrica com outro nome, mas NAO foi verificado. Razao pronta: nao tire media."
master_ads,cir_direto,Metrica,"Custo sobre receita direto, o inverso do ROI.","Razao pronta: nao tire media para consolidar."
master_ads,pedidos_amplos,Volume,"Pedidos de qualquer item da loja apos o clique.","NAO SOMAR ENTRE CAMPANHAS: a mesma venda e creditada a mais de uma campanha."
master_ads,gmv_amplo,Dinheiro,"Faturamento de qualquer item da loja apos o clique.","NAO SOMAR ENTRE CAMPANHAS -- credito duplicado, mesmo defeito do escrow_amount. Para total da loja use silver.stg_ads_shop_daily."
master_ads,roi_amplo,Metrica,"ROI considerando venda ampla, ja calculado.","Razao pronta: nao tire media. E herda o problema de credito duplicado do gmv_amplo."
master_ads,cir_amplo,Metrica,"Custo sobre receita amplo.","Razao pronta: nao tire media."
master_ads,valor_pedidos_diretos,Dinheiro,"Valor dos pedidos diretos.","Distinto do gmv_direto pela contabilizacao da Shopee. Prefira gmv_direto salvo motivo especifico."
master_ads,valor_pedidos_amplos,Dinheiro,"Valor dos pedidos amplos.","Mesmo aviso de nao somar entre campanhas."
master_ads,taxa_conversao,Metrica,"Conversao do dia, ja calculada.","Razao pronta: nao tire media para consolidar."
master_ads,loaded_at,Tempo,"Quando a linha foi carregada no bronze.","A releitura de 30 dias reprocessa o mesmo dia varias vezes; o silver mantem a versao mais recente."
